boat_id,time_now,latitude,longitude,wind_velocity,temperature,heading,acceleration_x,acceleration_y,acceleration_z
B1,2025-02-04T11:40:59.500346Z,37.87330484506751,-122.37675323382024,23.58,21.7,344.43,1.493,0.909,0.011
B1,2025-02-04T11:41:00.500346Z,37.86292091533219,-122.36179443042823,74.67,11.59,105.94,-0.631,0.29,-1.129
B1,2025-02-04T11:41:01.500346Z,37.87086191996717,-122.37894868641256,85.92,-8.06,94.07,1.391,-1.876,-0.652
B1,2025-02-04T11:41:02.500346Z,37.86363860467842,-122.37211542536173,53.28,31.29,353.61,-1.792,1.408,-1.286
B1,2025-02-04T11:41:03.500346Z,37.878304893357814,-122.36255573391341,119.47,12.94,70.44,-0.575,1.906,1.861
B1,2025-02-04T11:41:04.500346Z,37.869911343858924,-122.38078995622877,89.99,-9.62,312.27,1.822,1.937,0.617
B1,2025-02-04T11:41:05.500346Z,37.859582808996564,-122.36744903877994,4.7,-7.96,154.51,0.034,0.836,1.784
B1,2025-02-04T11:41:06.500346Z,37.86252702946961,-122.37686295835537,89.3,19.16,72.61,-1.032,0.859,0.388
B1,2025-02-04T11:41:07.500346Z,37.874031643439245,-122.37900657501051,58.25,8.27,209.96,0.401,-1.434,0.315
B1,2025-02-04T11:41:08.500346Z,37.874132476206476,-122.37722060062842,95.66,28.71,303.61,0.244,-1.744,0.149
B1,2025-02-04T11:41:09.500346Z,37.86439170554927,-122.37566560904853,101.45,-1.77,188.2,1.174,0.91,1.281
B1,2025-02-04T11:41:10.500346Z,37.87290061746513,-122.36896333589185,130.87,-0.45,263.25,-1.398,-0.383,1.791
B1,2025-02-04T11:41:11.500346Z,37.876174078545006,-122.37694367740832,124.37,30.53,164.89,0.698,-0.257,1.569
B1,2025-02-04T11:41:12.500346Z,37.8670828472165,-122.37286938675038,111.67,8.43,6.86,-1.678,0.96,1.59
B1,2025-02-04T11:41:13.500346Z,37.86612173317097,-122.37249134092278,10.52,34.97,339.77,1.044,1.576,-1.235
B1,2025-02-04T11:41:14.500346Z,37.87103201653084,-122.37805703015745,106.73,14.74,95.05,1.067,1.005,0.864
B1,2025-02-04T11:41:15.500346Z,37.86118569407622,-122.37725435893057,44.35,22.16,342.85,1.564,-1.374,1.745
B1,2025-02-04T11:41:16.500346Z,37.86635196505037,-122.37400735348722,65.91,25.63,316.05,1.071,-0.632,-1.605
B1,2025-02-04T11:41:17.500346Z,37.87664446588656,-122.37307918473364,63.74,0.07,99.43,-1.528,-1.27,-1.015
B1,2025-02-04T11:41:18.500346Z,37.87166540206039,-122.36902438189203,56.0,-8.01,295.72,0.878,-0.0,0.051
B1,2025-02-04T11:41:19.500346Z,37.869091693070956,-122.37379404767968,57.01,26.66,332.36,-0.683,-1.602,1.45
B1,2025-02-04T11:41:20.500346Z,37.87536750964588,-122.36461377116592,2.0,32.47,222.01,0.242,1.893,-0.795
B1,2025-02-04T11:41:21.500346Z,37.87685471060601,-122.37084405510855,143.0,25.89,123.98,-1.428,1.963,0.707
B1,2025-02-04T11:41:22.500346Z,37.87610379901788,-122.3685972141792,43.85,15.31,91.13,-0.123,0.539,-1.521
B1,2025-02-04T11:41:23.500346Z,37.87486487107336,-122.3620499101643,81.95,37.31,229.79,1.627,1.619,-0.666
B1,2025-02-04T11:41:24.500346Z,37.872383516235246,-122.37793653985798,82.54,-2.13,131.67,0.214,-1.502,1.172
B1,2025-02-04T11:41:25.500346Z,37.858748908381166,-122.37031453315123,115.15,19.03,273.01,0.6,1.088,-0.765
B1,2025-02-04T11:41:26.500346Z,37.86477852274461,-122.361695844124,139.03,23.91,0.24,1.043,1.299,-1.897
B1,2025-02-04T11:41:27.500346Z,37.87072415185509,-122.3782541945741,109.81,11.89,84.19,-0.869,-1.848,1.428
